,id,audio_wav,text
64,64,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_026.wav,근데 되게 저 멀리 있는 물 갖다 주세요 이거는 어 아 맞아 맞아.
65,65,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_027.wav,뭔가 뭔가 너가 조금 더 가까우니까 갔다 와라 뭔가 이런 느낌이 들면은 오히려 위에 사람이 안 좋게 보지 않을까라는 생각이 들어.
66,66,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_028.wav,뭔가 바로 앞에 그 사람 앞에 물건이 있다면 좀 다 말이 다르겠지만.
67,67,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_029.wav,그래서 되게 꼰대라는 기준이 되게 응 다른 거 같애.
68,68,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_030.wav,가연이 생각은 어때?
69,69,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_031.wav,어 나는 이제 군대 갔다 오다 보니까 진짜 다 군대 때문인 거 같애.
70,70,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_032.wav,뭔가 아래 사람을 일단 시키는 게 뭔가 당연하니까 거기는 나와서도 조금 그런 게 있지 않나 싶었어.
71,71,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_001.wav,"어 나는 그 그 아까 얘기 들으면서 모르는 사람이랑 있던 얘기를 친 친구 통해서 들었던 적이 있었거든, 아까 영상 보면서 딱 그 생각이 나더라고."
72,72,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_002.wav,"그니까 우리가 스무살 때 이제 대학교 입학하면 우리가 입학하면 전국에서 다 오잖아, 우리 학교로."
73,73,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_003.wav,어 근데 이제 거기서 친구가 처음에 이제 서울에서 이제 익산으로 내려오는 거였어.
74,74,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_004.wav,기차를 타고.
75,75,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_005.wav,근데 그때가 이제 처음 방을 구하러 내려온 날이었거든.
76,76,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_006.wav,근데 처음에 이제 기차를 서울에서 타고 오는데 친해진 옆자리 사람도 같 원광대 오는 사람인 거야.
77,77,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_007.wav,바로 옆에 앉 .
78,78,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_008.wav,이제 그게 익산 가까이 와서 좀 알게 됐는데 그 사람도 방을 보러 왔 온다고 하더라고.
79,79,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_009.wav,그래서 같이 어 그러면 같이 방을 볼래요 하면서 같이 방을 보다가 그 결국은 둘이 같이 룸메를 해서 하숙집에 들어갔어.
80,80,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_010.wav,그래갖고 근데 지 난 그 둘이 되게 친해졌을 거라고 생각을 했거든?
81,81,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_011.wav,근데 진짜 방만 공유하고 서로 아무 대화도 안 한다는 거야.
82,82,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_012.wav,심지어 같은 원룸에서 같이 지내는데.
83,83,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_013.wav,"그냥 이불을 깔고 같이 지내는데 아무 그거를 안 얘기를 거의 안 한다고 하더라고, 어 왔어 정도?"
84,84,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_014.wav,진짜 이름 이 만 그거 하고 거의 밖에서 놀지도 않고 술 먹거나 이런 것도 아니고 그냥 서로 이제 얼굴 이름만 아는 인사만 하는 룸메더라고.
85,85,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_015.wav,그래서 나는 어 그 이야기가 되게 웃겼어.
86,86,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_016.wav,"근데 이제 둘이 되게 통한다고 하더라고, 그 생활하는 거에 있어서는."
87,87,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_017.wav,그래서 되게 청소할 거는 자기들이 알아서 딱딱 나눠서 하니까 별로 신경 터치할 것도 없고 그냥 생활하는데 문제없어서 계속 그렇게 1년 1년 가까이 어 1년 살았더라고.
88,88,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_018.wav,응 그래서 원래 반년만 계약하는 건데 그냥 연장해가지고 했었다고 들었어.
89,89,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_019.wav,어 가영이는 비슷하게 막 모르는 사람 이런 거 있었어?
90,90,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_020.wav,그럼 다 인사하고 다녀?
91,91,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_021.wav,지나 가면서?
92,92,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_022.wav,아 당황해가지고?
93,93,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_023.wav,"아 어 되게 그렇긴 하겠다, 처음에는 예의 바르게 생각할 수도 있는데 아는 사람이겠구나 생각할 수도 있을 거 같애."
94,94,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_024.wav,"되게 아 그것도 색다르네, 이야기."
95,95,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_025.wav,아 되게 나는 근데 아까 그 영상 보면서 그 무한도전도 되게 옛날에 지금은 해체 되고 안 하는 프로그램이잖아.
96,96,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_026.wav,그래서 그래서 되게 옛날에 웃긴 거 봤던 막 아까 패밀리가 떴다도 보고 막 이런 거 웃겼던 얘기가 많이 기억 났어.
97,97,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_027.wav,그리고 요즘은 런닝맨 같은 거 많이 나오잖아.
98,98,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_028.wav,그래서 거기에서 나오는 게임 같은 거를 그 막 MT때 어떻게 하면 할 수 있을까 되게 고민을 많이 해보고 있어.
99,99,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_029.wav,"응 그래서 다음에 MT를 뭐하면 좀 고민, 고민도 되기는 해."
100,100,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_030.wav,게임 같은 건.
101,101,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_031.wav,어 어 되게 그거 막 이마에 붙이고 막 이러는 거 있잖아.
102,102,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_032.wav,"어 어 어 어 어 그것도 어 그것도 되게 재밌는데 어려울 어렵더라, 저번에 한 번 해봤었거든 친구들이랑."
103,103,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_033.wav,"어 어 되게 어렵더라, 맞 아무도 못 맞추더라고."
104,104,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_034.wav,그래 갖고 되게 웃겼었어.
105,105,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User002M_035.wav,어 그리고 뭐 좋아하는 프로그램 같은 거 있어?
106,106,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_001.wav,어 가영이는 방금 영상 보면서 혹시 어떻 어떻게 생각했어?
107,107,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_002.wav,성 평등에 대해서.
108,108,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_003.wav,근데 이제 나 같은 경우는 뭔가 어 가영이 말에 동감을 하는데 뭔가 남자가 잘하는 일이 있고 여자가 잘하는 일이 나는 따로 따 나눠 조금 있 나눠져 있다고 생각을 하거든.
109,109,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_004.wav,물론 같이 공부를 했을 때 똑같은 사람들도 있겠지만.
110,110,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_005.wav,근데 이제 보면은 뭐 교사나 이제 유치원 교사나 뭐 이런 되 되게 간호사나 이런 건 여 여자가 많이 하시는 그 일이잖아.
111,111,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_006.wav,그래서 그쪽에 비율이 낮다고 많다고 들었는데 근데 이제 거기서 여기서 얘기하는 건 이제 정부 공무원직이나 뭐 아니면 그 뭐 직장에서의 이제 높은 임원들 얘기를 하는 거잖아.
112,112,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_007.wav,근데 이제 거기 이제 나도 경쟁이라고 생각을 하거든.
113,113,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_008.wav,이제 그거에 대해서는 어린 나이에도 대표를 다시는 여성분들도 계시는데 굳이 그거를 비율을 맞춰야 되느냐에 대해서 조금 그런 거 같애.
114,114,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_009.wav,본인에 역량에 맞춰서 올라가는 거지 않을까?
115,115,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_010.wav,난 그렇게 생각을 하거든.
116,116,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_011.wav,"응, 맞아 그래서 되게 지금 남자 간호사의 채용률이 엄청 높다고는 들었었어, 일부러 더 구하고 있는 추세라고."
117,117,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_012.wav,"그래서 되게 그쪽으로 가면 취업은 당연히 된다라고 얘기를 하더라고, 보통적으로."
118,118,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_013.wav,뭔가 나는 그래서 사람마다 이제 하는 직업군이 그 잘하는 일이 다르듯이 그렇게 되게 본인이 노력하면서 하는 게 맞다고 생각하는데 아까 얘기 들었던 말 중에 30대에서 그만두는 여성들이 많다라는 말이 보통 이제 그런 문제는 출산이나 뭐 이런 거 때문에 중간에 관두는 경우가 많은 거잖아.
119,119,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_014.wav,근데 그거를 그거를 이제 성 평등에 어긋난다라고 얘기하는 게 조금 나는 어 조금 반대하는 의견이었어.
120,120,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_015.wav,응 그래서 내가 아 근데 하긴 내가 경찰청에서 일했을 때 되게 간부에 있으신 분들이 여자분은 거의 못 뵀던 거 같기는 하거든.
121,121,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_016.wav,"그래서 어느 정도 인원수는 필요하지만 이게 이제 능력에 따라서 올라가야 되지, 일부러 할당제로 이게 딱 맞춰서 인원을 들어가야 된다 이거는 조금 아닌 거 같애."
122,122,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_017.wav,아까 말했던 거처럼 능력이 안 되는데 내가 올라갈 수 있고 뭔가 낙하산이 되는 느낌이 될 수도 있잖아.
123,123,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_018.wav,그래서 그게 되게 안 좋지 않을까라는 생각이 나는 오히려 반대로 어 아까 그분들의 말에 동의가 들었었어.
124,124,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_019.wav,되게 내가 그 경험을 하면서.
125,125,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_020.wav,"응 그래서 혹시 그 성 평등에 대한 경험 음 성차별 이런 경험이 혹시 있었어, 가영이는?"
126,126,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_021.wav,응 내가 할 수 있는 근데 가영이는 그게 그것도 있지 않아?
127,127,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_022.wav,내가 내가 가영이 거를 뭔가 해주려고 하면은 어 내가 할 수 있다고 하는.
128,128,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_023.wav,뭔가 그런 거 자주 있지 않아?
129,129,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_024.wav,응 내가 응 내가 뭔가 가방을 들어주려고 하거나 뭐 이럴 때 되게 싫어하는 거 같더라고.
130,130,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_025.wav,그래서 음 굳이 내가 해줄 수 있는데 싫어하니까 조금 난감했던 경우도 있던 거 같애.
131,131,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_026.wav,응 그래서 되게 어 막 성차별하니까 되게 어 또 어디서 느꼈었지?
132,132,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_027.wav,어 근데 확실히 아까 그 반대한 성차 성 평등 쪽에 되게 하나 그나마 공감이 갔던 거는 어 이제 할 수 뭐라고 해야 되지?
133,133,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_028.wav,그 사람 여 여성들이 할 수 있는 역할들이 분명 있잖아.
134,134,./KEMDy20_v1_1/wav\Session01\Sess01_script04_User002M_029.wav,경찰 안에서도 이제 여자들을 다루려면 여자 공무원이 있어야 경찰 직원이 있어야 되고 그니까 그런 거에 역할이 있어서의 비율이 늘어나는 거는 맞겠지만 역 어 일부러 이제 할당제로 이제 열 연령 그거를 늘려야 되는 건 난 이해를 못 하겠어.
135,135,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_001.wav,"응, 응 가영이는 잠꼬대 땜에 히 힘들거나 웃겼던 이야기 있어?"
136,136,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_002.wav,어 막 탱크 온 거처럼?
137,137,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_003.wav,"어 나는 되게 코골이 때문에 어 맞아 나는 훈련소에 처음 가면 되게 바로 옆에서 이렇게 남자 애들이 이렇게 붙어가지고 잔단 말야, 이 딱 이 거리에서."
138,138,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_004.wav,진짜 그러다 보니까 옆에서 코 골면은 옆에 사람이 진짜 잘 못 자.
139,139,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_005.wav,근데 나는 되게 잠을 엄청 잘 자는 타입이거든.
140,140,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_006.wav,그냥 눈 감으면 바로 잘 수도 있는 타입이어서 그 눈 이제 감고 이제 자면은 코골이를 내가 하는데 옆 사람이 이제 되게 민감한 애였던 거야.
141,141,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_007.wav,그래갖고 소리 때문에 되게 나 때문에 못 잤다고 막 너 좀 코 좀 그만 골라고 했던 적이 있었었어.
142,142,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_008.wav,그래서 나는 그렇게 코골이가 심한 거를 군대 가서 처음 알았어.
143,143,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_009.wav,아 심하다기보다는 코골이를 한다는 거 자체를.
144,144,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_010.wav,어 그때 이제 누구랑 옆에서 재 자고 막 이러는 거를 처음 하니까 옆에 잘 사람 자는 사람 적이 없으니까 부모님도 얘기해 준 적 없었고.
145,145,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_011.wav,"어 그래서 처음 알게 됐었어, 군대 가서."
146,146,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_012.wav,그래갖고 그거 고치는 거 막 알아보고 막 했는데 되게 나 말고도 더 고생한 사람이 많더라고.
147,147,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_013.wav,그 가영이는 뭐 주변에서 막 이렇게 보고 가영이가 그거 했던 적은 웃겼던 건 적은 없었어?
148,148,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_014.wav,코골이 땜에.
149,149,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_015.wav,아니면 어 어.
150,150,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_016.wav,어 그거랑 또 뭐 있었지?
151,151,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_017.wav,막 AI 스피커도 있잖아.
152,152,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_018.wav,그것 그것 땜에 당 그거 땜에 당황스러웠던 적은 없었어?
153,153,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_019.wav,AI 스피커 때문에?
154,154,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_020.wav,"응, 나는 예전에 이제 그 그 나 군대 전역하고 나서 나왔는데 집에서 그거를 애들이랑 집에서 밥을 먹었어."
155,155,./KEMDy20_v1_1/wav\Session01\Sess01_script05_User002M_021.wav,밥을 먹으면서 어 클로바 부르면서 무슨 무슨 노래 켜줘 했는데 되게 생뚱 맞은 노래가 나오는 거야.
